,Disease,symptoms_1,symptoms_2,symptoms_3,symptoms_4
76,Disease, fatigue, weight_loss, restlessness, lethargy
77,Disease, fatigue, weight_loss, restlessness, lethargy
78,Disease, fatigue, weight_loss, restlessness, lethargy
79,Disease, fatigue, weight_loss, restlessness, lethargy
80,Disease, vomiting, sunken_eyes, dehydration, diarrhoea
81,Disease, vomiting, sunken_eyes, dehydration, diarrhoea
82,Disease, sunken_eyes, dehydration, diarrhoea,
83,Disease, vomiting, dehydration, diarrhoea,
84,Disease, vomiting, sunken_eyes, diarrhoea,
85,Disease, vomiting, sunken_eyes, dehydration,
86,Disease, vomiting, sunken_eyes, dehydration, diarrhoea
87,Disease, sunken_eyes, dehydration, diarrhoea,
88,Disease, vomiting, dehydration, diarrhoea,
89,Disease, vomiting, sunken_eyes, diarrhoea,
90,Disease, fatigue, cough, high_fever, breathlessness
91,Disease, cough, high_fever, breathlessness, family_history
92,Disease, fatigue, high_fever, breathlessness, family_history
93,Disease, fatigue, cough, breathlessness, family_history
94,Disease, fatigue, cough, high_fever, family_history
95,Disease, fatigue, cough, high_fever, breathlessness
96,Disease, fatigue, cough, high_fever, breathlessness
97,Disease, fatigue, cough, high_fever, breathlessness
98,Disease, cough, high_fever, breathlessness, family_history
99,Disease, fatigue, high_fever, breathlessness, family_history
100,Disease, headache, chest_pain, dizziness, loss_of_balance
101,Disease, chest_pain, dizziness, loss_of_balance, lack_of_concentration
102,Disease, headache, dizziness, loss_of_balance, lack_of_concentration
103,Disease, headache, chest_pain, loss_of_balance, lack_of_concentration
104,Disease, headache, chest_pain, dizziness, lack_of_concentration
105,Disease, headache, chest_pain, dizziness, loss_of_balance
106,Disease, headache, chest_pain, dizziness, loss_of_balance
107,Disease, chest_pain, dizziness, loss_of_balance, lack_of_concentration
108,Disease, headache, dizziness, loss_of_balance, lack_of_concentration
109,Disease, headache, chest_pain, loss_of_balance, lack_of_concentration
110,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
111,Disease, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
112,Disease, acidity, headache, blurred_and_distorted_vision, excessive_hunger
113,Disease, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
114,Disease, acidity, indigestion, headache, excessive_hunger
115,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
116,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
117,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
118,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
119,Disease, acidity, indigestion, headache, blurred_and_distorted_vision
120,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
121,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
122,Disease, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
123,Disease, back_pain, neck_pain, dizziness, loss_of_balance
124,Disease, back_pain, weakness_in_limbs, dizziness, loss_of_balance
125,Disease, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
126,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
127,Disease, back_pain, weakness_in_limbs, neck_pain, dizziness
128,Disease, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
129,Disease, back_pain, neck_pain, dizziness, loss_of_balance
130,Disease, vomiting, headache, weakness_of_one_body_side, altered_sensorium
131,Disease, vomiting, headache, weakness_of_one_body_side, altered_sensorium
132,Disease, headache, weakness_of_one_body_side, altered_sensorium,
133,Disease, vomiting, weakness_of_one_body_side, altered_sensorium,
134,Disease, vomiting, headache, altered_sensorium,
135,Disease, vomiting, headache, weakness_of_one_body_side,
136,Disease, vomiting, headache, weakness_of_one_body_side, altered_sensorium
137,Disease, headache, weakness_of_one_body_side, altered_sensorium,
138,Disease, vomiting, weakness_of_one_body_side, altered_sensorium,
139,Disease, vomiting, headache, altered_sensorium,
140,Disease,itching, vomiting, fatigue, weight_loss
141,Disease,itching, vomiting, fatigue, weight_loss
142,Disease, vomiting, fatigue, weight_loss, high_fever
143,Disease,itching, fatigue, weight_loss, high_fever
144,Disease,itching, vomiting, weight_loss, high_fever
145,Disease,itching, vomiting, fatigue, high_fever
146,Disease,itching, vomiting, fatigue, weight_loss
147,Disease,itching, vomiting, fatigue, weight_loss
148,Disease,itching, vomiting, fatigue, weight_loss
149,Disease,itching, vomiting, fatigue, weight_loss
150,Disease, chills, vomiting, high_fever, sweating
151,Disease, chills, vomiting, high_fever, sweating
152,Disease, chills, vomiting, high_fever, sweating
153,Disease, vomiting, high_fever, sweating, headache
154,Disease, chills, high_fever, sweating, headache
155,Disease, chills, vomiting, sweating, headache
156,Disease, chills, vomiting, high_fever, headache
157,Disease, chills, vomiting, high_fever, sweating
158,Disease, chills, vomiting, high_fever, sweating
159,Disease, chills, vomiting, high_fever, sweating
160,Disease,itching, skin_rash, fatigue, lethargy
161,Disease, skin_rash, fatigue, lethargy, high_fever
162,Disease,itching, fatigue, lethargy, high_fever
163,Disease,itching, skin_rash, lethargy, high_fever
164,Disease,itching, skin_rash, fatigue, high_fever
165,Disease,itching, skin_rash, fatigue, lethargy
166,Disease,itching, skin_rash, fatigue, lethargy
167,Disease,itching, skin_rash, fatigue, lethargy
168,Disease,itching, skin_rash, fatigue, lethargy
169,Disease,itching, skin_rash, fatigue, lethargy
170,Disease, skin_rash, chills, joint_pain, vomiting
171,Disease, skin_rash, chills, joint_pain, vomiting
172,Disease, skin_rash, chills, joint_pain, vomiting
173,Disease, skin_rash, chills, joint_pain, vomiting
174,Disease, chills, joint_pain, vomiting, fatigue
175,Disease, skin_rash, joint_pain, vomiting, fatigue
176,Disease, skin_rash, chills, vomiting, fatigue
177,Disease, skin_rash, chills, joint_pain, fatigue
178,Disease, skin_rash, chills, joint_pain, vomiting
179,Disease, skin_rash, chills, joint_pain, vomiting
180,Disease, chills, vomiting, fatigue, high_fever
181,Disease, chills, vomiting, fatigue, high_fever
182,Disease, chills, vomiting, fatigue, high_fever
183,Disease, chills, vomiting, fatigue, high_fever
184,Disease, chills, vomiting, fatigue, high_fever
185,Disease, chills, vomiting, fatigue, high_fever
186,Disease, chills, vomiting, fatigue, high_fever
187,Disease, chills, vomiting, fatigue, high_fever
188,Disease, chills, vomiting, fatigue, high_fever
189,Disease, chills, fatigue, high_fever, headache
190,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
191,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
192,Disease, vomiting, yellowish_skin, dark_urine, nausea
193,Disease, joint_pain, yellowish_skin, dark_urine, nausea
194,Disease, joint_pain, vomiting, dark_urine, nausea
195,Disease, joint_pain, vomiting, yellowish_skin, nausea
196,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
197,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
198,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
199,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
200,Disease,itching, fatigue, lethargy, yellowish_skin
201,Disease,itching, fatigue, lethargy, yellowish_skin
202,Disease, fatigue, lethargy, yellowish_skin, dark_urine
203,Disease,itching, lethargy, yellowish_skin, dark_urine
204,Disease,itching, fatigue, yellowish_skin, dark_urine
205,Disease,itching, fatigue, lethargy, dark_urine
206,Disease,itching, fatigue, lethargy, yellowish_skin
207,Disease,itching, fatigue, lethargy, yellowish_skin
208,Disease,itching, fatigue, lethargy, yellowish_skin
209,Disease,itching, fatigue, lethargy, yellowish_skin
210,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
211,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
212,Disease, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
213,Disease, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
214,Disease, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
215,Disease, fatigue, yellowish_skin, nausea, yellowing_of_eyes
216,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
217,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
218,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
219,Disease, fatigue, yellowish_skin, nausea, loss_of_appetite
220,Disease, joint_pain, vomiting, fatigue, yellowish_skin
221,Disease, vomiting, fatigue, yellowish_skin, dark_urine
222,Disease, joint_pain, fatigue, yellowish_skin, dark_urine
223,Disease, joint_pain, vomiting, yellowish_skin, dark_urine
224,Disease, joint_pain, vomiting, fatigue, dark_urine
225,Disease, joint_pain, vomiting, fatigue, yellowish_skin
226,Disease, joint_pain, vomiting, fatigue, yellowish_skin
227,Disease, joint_pain, vomiting, fatigue, yellowish_skin
228,Disease, joint_pain, vomiting, fatigue, yellowish_skin
229,Disease, joint_pain, vomiting, fatigue, yellowish_skin
230,Disease, joint_pain, vomiting, fatigue, high_fever
231,Disease, joint_pain, vomiting, fatigue, high_fever
232,Disease, joint_pain, vomiting, fatigue, high_fever
233,Disease, vomiting, fatigue, high_fever, yellowish_skin
234,Disease, joint_pain, fatigue, high_fever, yellowish_skin
235,Disease, joint_pain, vomiting, high_fever, yellowish_skin
236,Disease, joint_pain, vomiting, fatigue, yellowish_skin
237,Disease, joint_pain, vomiting, fatigue, high_fever
238,Disease, joint_pain, vomiting, fatigue, high_fever
239,Disease, joint_pain, vomiting, fatigue, high_fever
240,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
241,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
242,Disease, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
243,Disease, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
244,Disease, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
245,Disease, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
246,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
247,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
248,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
249,Disease, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
250,Disease, chills, vomiting, fatigue, weight_loss
251,Disease, chills, vomiting, fatigue, weight_loss
252,Disease, vomiting, fatigue, weight_loss, cough
253,Disease, chills, fatigue, weight_loss, cough
254,Disease, chills, vomiting, weight_loss, cough
255,Disease, chills, vomiting, fatigue, cough
256,Disease, chills, vomiting, fatigue, weight_loss
257,Disease, chills, vomiting, fatigue, weight_loss
258,Disease, chills, vomiting, fatigue, weight_loss
259,Disease, chills, vomiting, fatigue, weight_loss
260,Disease, continuous_sneezing, chills, fatigue, cough
261,Disease, continuous_sneezing, chills, fatigue, cough
262,Disease, chills, fatigue, cough, high_fever
263,Disease, continuous_sneezing, fatigue, cough, high_fever
264,Disease, continuous_sneezing, chills, cough, high_fever
265,Disease, continuous_sneezing, chills, fatigue, high_fever
266,Disease, continuous_sneezing, chills, fatigue, cough
267,Disease, continuous_sneezing, chills, fatigue, cough
268,Disease, continuous_sneezing, chills, fatigue, cough
269,Disease, continuous_sneezing, chills, fatigue, cough
270,Disease, chills, fatigue, cough, high_fever
271,Disease, chills, fatigue, cough, high_fever
272,Disease, chills, fatigue, cough, high_fever
273,Disease, fatigue, cough, high_fever, breathlessness
274,Disease, chills, cough, high_fever, breathlessness
275,Disease, chills, fatigue, high_fever, breathlessness
276,Disease, chills, fatigue, cough, breathlessness
277,Disease, chills, fatigue, cough, high_fever
278,Disease, chills, fatigue, cough, high_fever
279,Disease, chills, fatigue, cough, high_fever
280,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
281,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
282,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
283,Disease, pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
284,Disease, constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
285,Disease, constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
286,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
287,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
288,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
289,Disease, constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
290,Disease, vomiting, breathlessness, sweating, chest_pain
291,Disease, vomiting, breathlessness, sweating, chest_pain
292,Disease, breathlessness, sweating, chest_pain,
293,Disease, vomiting, sweating, chest_pain,
294,Disease, vomiting, breathlessness, chest_pain,
295,Disease, vomiting, breathlessness, sweating,
296,Disease, vomiting, breathlessness, sweating, chest_pain
297,Disease, breathlessness, sweating, chest_pain,
298,Disease, vomiting, sweating, chest_pain,
299,Disease, vomiting, breathlessness, chest_pain,
300,Disease, fatigue, cramps, bruising, obesity
301,Disease, fatigue, cramps, bruising, obesity
302,Disease, cramps, bruising, obesity, swollen_legs
303,Disease, fatigue, bruising, obesity, swollen_legs
304,Disease, fatigue, cramps, obesity, swollen_legs
305,Disease, fatigue, cramps, bruising, swollen_legs
306,Disease, fatigue, cramps, bruising, obesity
307,Disease, fatigue, cramps, bruising, obesity
308,Disease, fatigue, cramps, bruising, obesity
309,Disease, fatigue, cramps, bruising, obesity
310,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
311,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
312,Disease, weight_gain, cold_hands_and_feets, mood_swings, lethargy
313,Disease, weight_gain, cold_hands_and_feets, mood_swings, lethargy
314,Disease, fatigue, cold_hands_and_feets, mood_swings, lethargy
315,Disease, fatigue, weight_gain, mood_swings, lethargy
316,Disease, fatigue, weight_gain, cold_hands_and_feets, lethargy
317,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
318,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
319,Disease, fatigue, weight_gain, cold_hands_and_feets, mood_swings
320,Disease, fatigue, mood_swings, weight_loss, restlessness
321,Disease, fatigue, mood_swings, weight_loss, restlessness
322,Disease, mood_swings, weight_loss, restlessness, sweating
323,Disease, fatigue, weight_loss, restlessness, sweating
324,Disease, fatigue, mood_swings, restlessness, sweating
325,Disease, fatigue, mood_swings, weight_loss, sweating
326,Disease, fatigue, mood_swings, weight_loss, restlessness
327,Disease, fatigue, mood_swings, weight_loss, restlessness
328,Disease, fatigue, mood_swings, weight_loss, restlessness
329,Disease, fatigue, mood_swings, weight_loss, restlessness
330,Disease, vomiting, fatigue, anxiety, sweating
331,Disease, vomiting, fatigue, anxiety, sweating
332,Disease, vomiting, fatigue, anxiety, sweating
333,Disease, fatigue, anxiety, sweating, headache
334,Disease, vomiting, anxiety, sweating, headache
335,Disease, vomiting, fatigue, sweating, headache
336,Disease, vomiting, fatigue, anxiety, headache
337,Disease, vomiting, fatigue, anxiety, sweating
338,Disease, vomiting, fatigue, anxiety, sweating
339,Disease, vomiting, fatigue, anxiety, sweating
340,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
341,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
342,Disease, neck_pain, knee_pain, hip_joint_pain, swelling_joints
343,Disease, joint_pain, knee_pain, hip_joint_pain, swelling_joints
344,Disease, joint_pain, neck_pain, hip_joint_pain, swelling_joints
345,Disease, joint_pain, neck_pain, knee_pain, swelling_joints
346,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
347,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
348,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
349,Disease, joint_pain, neck_pain, knee_pain, hip_joint_pain
350,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
351,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
352,Disease, stiff_neck, swelling_joints, movement_stiffness, painful_walking
353,Disease, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
354,Disease, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
355,Disease, muscle_weakness, stiff_neck, swelling_joints, painful_walking
356,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
357,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
358,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
359,Disease, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
360,Disease, vomiting, headache, nausea, spinning_movements
361,Disease, vomiting, headache, nausea, spinning_movements
362,Disease, headache, nausea, spinning_movements, loss_of_balance
363,Disease, vomiting, nausea, spinning_movements, loss_of_balance
364,Disease, vomiting, headache, spinning_movements, loss_of_balance
365,Disease, vomiting, headache, nausea, loss_of_balance
366,Disease, vomiting, headache, nausea, spinning_movements
367,Disease, vomiting, headache, nausea, spinning_movements
368,Disease, vomiting, headache, nausea, spinning_movements
369,Disease, vomiting, headache, nausea, loss_of_balance
370,Disease, skin_rash, pus_filled_pimples, blackheads, scurring
371,Disease, skin_rash, pus_filled_pimples, blackheads, scurring
372,Disease, pus_filled_pimples, blackheads, scurring,
373,Disease, skin_rash, blackheads, scurring,
374,Disease, skin_rash, pus_filled_pimples, scurring,
375,Disease, skin_rash, pus_filled_pimples, blackheads,
376,Disease, skin_rash, pus_filled_pimples, blackheads, scurring
377,Disease, skin_rash, pus_filled_pimples, blackheads,
378,Disease, skin_rash, pus_filled_pimples, scurring,
379,Disease, skin_rash, blackheads, scurring,
380,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
381,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
382,Disease, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
383,Disease, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
384,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
385,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine,
386,Disease, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
387,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
388,Disease, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
389,Disease, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
390,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
391,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
392,Disease, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
393,Disease, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
394,Disease, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
395,Disease, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
396,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
397,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
398,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
399,Disease, skin_rash, joint_pain, skin_peeling, silver_like_dusting
400,Disease, skin_rash, high_fever, blister, red_sore_around_nose
401,Disease, skin_rash, high_fever, blister, red_sore_around_nose
402,Disease, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
403,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
404,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
405,Disease, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
406,Disease, skin_rash, high_fever, blister, yellow_crust_ooze
407,Disease, skin_rash, high_fever, blister, red_sore_around_nose
408,Disease, skin_rash, high_fever, blister, red_sore_around_nose
409,Disease, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
410,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
411,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
412,Disease,itching, nodal_skin_eruptions, dischromic _patches,
413,Disease,itching, skin_rash, dischromic _patches,
414,Disease,itching, skin_rash, nodal_skin_eruptions,
415,Disease, skin_rash, nodal_skin_eruptions, dischromic _patches,
416,Disease,itching, nodal_skin_eruptions, dischromic _patches,
417,Disease,itching, skin_rash, dischromic _patches,
418,Disease,itching, skin_rash, nodal_skin_eruptions,
419,Disease,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
420,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
421,Disease, shivering, chills, watering_from_eyes,
422,Disease, continuous_sneezing, chills, watering_from_eyes,
423,Disease, continuous_sneezing, shivering, watering_from_eyes,
424,Disease, continuous_sneezing, shivering, chills,
425,Disease, shivering, chills, watering_from_eyes,
426,Disease, continuous_sneezing, chills, watering_from_eyes,
427,Disease, continuous_sneezing, shivering, watering_from_eyes,
428,Disease, continuous_sneezing, shivering, chills,
429,Disease, continuous_sneezing, shivering, chills, watering_from_eyes
430,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
431,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
432,Disease, stomach_pain, acidity, vomiting, cough
433,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
434,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
435,Disease, stomach_pain, acidity, ulcers_on_tongue, vomiting
436,Disease, acidity, ulcers_on_tongue, vomiting, cough
437,Disease, stomach_pain, ulcers_on_tongue, vomiting, cough
438,Disease, stomach_pain, acidity, vomiting, cough
439,Disease, stomach_pain, acidity, ulcers_on_tongue, cough
440,Disease,itching, vomiting, yellowish_skin, nausea
441,Disease, vomiting, yellowish_skin, nausea, loss_of_appetite
442,Disease,itching, yellowish_skin, nausea, loss_of_appetite
443,Disease,itching, vomiting, nausea, loss_of_appetite
444,Disease,itching, vomiting, yellowish_skin, loss_of_appetite
445,Disease,itching, vomiting, yellowish_skin, nausea
446,Disease,itching, vomiting, yellowish_skin, nausea
447,Disease,itching, vomiting, yellowish_skin, nausea
448,Disease,itching, vomiting, yellowish_skin, nausea
449,Disease,itching, vomiting, yellowish_skin, nausea
450,Disease,itching, skin_rash, stomach_pain, burning_micturition
451,Disease,itching, stomach_pain, burning_micturition, spotting_ urination
452,Disease,itching, skin_rash, burning_micturition, spotting_ urination
453,Disease,itching, skin_rash, stomach_pain, spotting_ urination
454,Disease,itching, skin_rash, stomach_pain, burning_micturition
455,Disease, skin_rash, stomach_pain, burning_micturition, spotting_ urination
456,Disease,itching, stomach_pain, burning_micturition, spotting_ urination
457,Disease,itching, skin_rash, burning_micturition, spotting_ urination
458,Disease,itching, skin_rash, stomach_pain, spotting_ urination
459,Disease,itching, skin_rash, stomach_pain, burning_micturition
460,Disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
461,Disease, vomiting, indigestion, abdominal_pain, passage_of_gases
462,Disease, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
463,Disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
464,Disease, vomiting, indigestion, abdominal_pain, passage_of_gases
465,Disease, vomiting, indigestion, loss_of_appetite, passage_of_gases
466,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
467,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
468,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
469,Disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
470,Disease, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
471,Disease, patches_in_throat, high_fever, extra_marital_contacts,
472,Disease, muscle_wasting, high_fever, extra_marital_contacts,
473,Disease, muscle_wasting, patches_in_throat, extra_marital_contacts,
